id,state,total_pop,groundwater_per_day,gal_per_capita,county
16019,ID,110089,32860000,298.49,Bonneville County
16021,ID,11318,350000,30.92,Boundary County
16023,ID,2501,1280000,511.8,Butte County
16025,ID,1065,140000,131.33,Camas County
16027,ID,207477,14530000,70.03,Canyon County
16029,ID,6770,1210000,178.73,Caribou County
16031,ID,23506,3420000,145.49,Cassia County
16033,ID,880,140000,159.09,Clark County
16035,ID,8496,700000,82.39,Clearwater County
16037,ID,4086,600000,146.81,Custer County
16039,ID,25875,3890000,150.33,Elmore County
16041,ID,13074,2900000,221.81,Franklin County
16043,ID,12819,830000,64.75,Fremont County
16045,ID,16852,460000,27.3,Gem County
16047,ID,15284,3230000,211.33,Gooding County
16049,ID,16272,840000,51.62,Idaho County
16051,ID,27156,930000,34.25,Jefferson County
16053,ID,22814,3420000,149.91,Jerome County
16055,ID,150346,29700000,197.54,Kootenai County
16057,ID,38778,3820000,98.51,Latah County
16059,ID,7735,1470000,190.05,Lemhi County
16061,ID,3788,500000,131.96,Lewis County
16063,ID,5297,390000,73.63,Lincoln County
16065,ID,38273,3050000,79.69,Madison County
16067,ID,20461,2530000,123.65,Minidoka County
16069,ID,40048,8760000,218.74,Nez Perce County
16071,ID,4281,560000,130.81,Oneida County
16073,ID,11310,650000,57.47,Owyhee County
16075,ID,22896,1700000,74.25,Payette County
16077,ID,7648,1930000,252.35,Power County
16079,ID,12432,2100000,168.92,Shoshone County
16081,ID,10564,660000,62.48,Teton County
16083,ID,82375,14910000,181.0,Twin Falls County
16085,ID,10103,1310000,129.66,Valley County
16087,ID,9984,720000,72.12,Washington County
17001,IL,67013,5100000,76.1,Adams County
17003,IL,6780,490000,72.27,Alexander County
17005,IL,16950,1270000,74.93,Bond County
17007,IL,53585,3310000,61.77,Boone County
17009,IL,6829,320000,46.86,Brown County
17011,IL,33586,2040000,60.74,Bureau County
17013,IL,4899,370000,75.53,Calhoun County
